,lat,long,dissemination_area,quest,ville,codep,rta,arron,debut,mess1,q1,q2_m1,q2_m2,q2_m3,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14_m1,q14_m2,q14_m3,q15,q16,q17,q18,q19,q20,q20a,q21,q22,q23,q24,q25,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,pond
562,45.507403,-73.616969,24661302,3404,MONTREAL,H3S,H3S,11,1,1,1,1, , ,3,1,2,2,2,2,2,2,2,1,2, , , ,1,1,4,2,4,2,0,2,2,2,1,2,2,1,1,3,2,2,2,2,1,1,2,2.16279574167529
563,45.595692,-73.556868,24660205,3405,MONTREAL,H1M2W1,H1M,13,1,1,2, , , , , , , , , , , , , , ,5,13, ,4,4,1,1,4,1, ,2,2,2,1,1,1,4,3,1,1,2,2,2,1,2, ,0.71318334403313
564,45.457734,-73.567896,24661156,3431,MONTREAL,H4G2W5,H4G,7,1,1,2, , , , , , , , , , , , , , ,9,4, ,2,1,3,1,4,1, ,2,2,1,1,2,2,2,1,2,1,2,2,1,1,2, ,0.91357010076408
565,45.511745,-73.624203,24661405,3432,MONTREAL,H3S2T4,H3S,11,1,1,2, , , , , , , , , , , , , , ,1,2, ,3,1,4,4,4,2,0,2,5,1,2,2,2,3,1,3,3,2,2,1,2,2, ,0.81856585972332
566,45.462916,-73.550236,24661227,3436,VERDUN,H3E1T1,H3E,7,1,1,1,2, , ,3,2,2,2,2,1,2,1,1,2,1, , , ,3,1,3,1,4,2,0,1,9,2,1,2,2,3,1,2,1,2,1,2,1,1,2,0.76672607558491
567,45.52512,-73.626298,24661531,3437,MONTREAL,H3N2S9,H3N,6,1,1,2, , , , , , , , , , , , , , ,4, , ,2,1,1,4,2,2,0,2,1,2,1,2,2,2,1,1,3,1,2,2,1,2, ,0.98007152863766
568,45.565122,-73.598569,24660254,3440,MONTREAL,H2A2P5,H2A,6,1,1,2, , , , , , , , , , , , , , ,1, , ,2,2,3,4,4,2,2,2,1,1,1,2,2,2,1,2,3,2,2,1,1,2, ,0.91357010076408
569,45.52382,-73.597753,24661378,3445,MONTREAL,H2T2W8,H2T,2,1,1,1,1, , ,3,1,2,2,2,2,2,2,2,1,2, , , ,2,5,4,3,3,2,0,2,5,2,1,2,2,2,4,3,2,1,2,2,1,1,2,0.98007152863766
570,45.597514,-73.555683,24660203,3455,MONTREAL,H1M3N3,H1M,13,1,1,2, , , , , , , , , , , , , , ,3,4, ,3,1,4,1,4,2,0,1,6,1,1,1,1,3,1,3,1,2,1,1,1,2, ,0.81856585972332
571,45.483314,-73.573127,24661121,3457,MONTREAL,H3J2X1,H3J,5,1,1,2, , , , , , , , , , , , , , ,4, , ,3,1,4,3,4,2,0,1,6,1,1,2,2,3,1,3,2,2,1,1,1,2, ,0.81856585972332
