"MTL_Diss_Area_LatLong.FID","MTL_Diss_Area_LatLong.DAUID","MTL_Diss_Area_LatLong.PRUID","MTL_Diss_Area_LatLong.CDUID","MTL_Diss_Area_LatLong.CSDUID","MTL_Diss_Area_LatLong.CSDTYPE","MTL_Diss_Area_LatLong.ERUID","MTL_Diss_Area_LatLong.SACCODE","MTL_Diss_Area_LatLong.SACTYPE","MTL_Diss_Area_LatLong.CMAUID","MTL_Diss_Area_LatLong.CMAPUID","MTL_Diss_Area_LatLong.CMATYPE","MTL_Diss_Area_LatLong.CTUID","MTL_Diss_Area_LatLong.CTNAME","MTL_Diss_Area_LatLong.ADAUID","MTL_Diss_Area_LatLong.Shape_Leng","MTL_Diss_Area_LatLong.Shape_Area","MTL_Diss_Area_LatLong.DAUID_INT","Incomev2.csv.GEO_UID","Incomev2.csv.Med_Total_Inc","Incomev2.csv.Med_AftTax_Inc","Incomev2.csv.Med_Household_Inc","id","Geometry"
"10","24661016","24","2466","2466023","V","2440","462","1","462","24462","B","4620092.00","0092.00","24660213","0.0103230216481","6.32476380221E-06","24661016","24661016","26304","25024","40512","10","POLYGON ((-73.59527662499994 45.45388264300004, -73.59434516299996 45.45405659700003, -73.59445743099997 45.45436092300008, -73.59459979699994 45.45473091300005, -73.59472379699997 45.45506315700004, -73.59498755499999 45.45576867800003, -73.59510947399997 45.456086680000055, -73.59530800699997 45.45659941300005, -73.59542065299996 45.45691860300008, -73.59635368999994 45.45674450200005, -73.59748301099995 45.45653793100007, -73.59641081599995 45.45366557600005, -73.59527662499994 45.45388264300004))"
"11","24661017","24","2466","2466023","V","2440","462","1","462","24462","B","4620089.00","0089.00","24660211","0.0152326391838","6.79411467345E-06","24661017","24661017","23296","21717","40576","11","POLYGON ((-73.59299418099994 45.45573051200006, -73.59349392299998 45.45575001900005, -73.59359843999994 45.45574001500006, -73.59395124799994 45.45567404700006, -73.59405898999995 45.45594242300007, -73.59498755499999 45.45576867800003, -73.59472379699997 45.45506315700004, -73.59459979699994 45.45473091300005, -73.59445743099997 45.45436092300008, -73.59434516299996 45.45405659700003, -73.59421974499998 45.45372783400006, -73.59376689299995 45.45251431300005, -73.59338045499999 45.45147864300003, -73.59326372099997 45.451176504000045, -73.59233229999995 45.45134285600005, -73.59187369099999 45.45142617300007, -73.59141914099996 45.45153966600003, -73.59155989999994 45.45191286800008, -73.59170736499993 45.45227162200007, -73.59219829599994 45.45228611700003, -73.59232470899997 45.45226522400003, -73.59265202699999 45.452206482000065, -73.59328835599996 45.45390329800006, -73.59340997099997 45.45423056000004, -73.59295834099999 45.454315156000064, -73.59249588899996 45.45440219900007, -73.59258835199995 45.45465100400003, -73.59270581999994 45.454987334000066, -73.59281847099999 45.45528733500004, -73.59299418099994 45.45573051200006))"
"12","24661018","24","2466","2466023","V","2440","462","1","462","24462","B","4620089.00","0089.00","24660211","0.0115432680517","7.4244364133E-06","24661018","24661018","29248","27541","50560","12","POLYGON ((-73.58934368099995 45.453856607000034, -73.58931715599994 45.45419441700005, -73.59246304099997 45.454313967000076, -73.59249588899996 45.45440219900007, -73.59295834099999 45.454315156000064, -73.59340997099997 45.45423056000004, -73.59328835599996 45.45390329800006, -73.59265202699999 45.452206482000065, -73.59232470899997 45.45226522400003, -73.59219829599994 45.45228611700003, -73.59170736499993 45.45227162200007, -73.59002638899995 45.45220422800003, -73.58947175399999 45.45218008900008, -73.58941729799994 45.452870407000034, -73.58937029799995 45.453524653000045, -73.58934368099995 45.453856607000034))"
"13","24661019","24","2466","2466023","V","2440","462","1","462","24462","B","4620089.00","0089.00","24660211","0.0108992875439","5.18158377092E-06","24661019","24661019","28992","27232","47147","13","POLYGON ((-73.58931715599994 45.45419441700005, -73.58929275399998 45.454523506000044, -73.58926632999999 45.454855001000055, -73.58909729799996 45.45496065400005, -73.58859008799999 45.45513118000008, -73.58856440399995 45.45545464500003, -73.58858483899996 45.45555643200004, -73.58914976199998 45.455577349000066, -73.59020914499996 45.45561668900007, -73.59071391399993 45.455642907000026, -73.59231368699994 45.45570322400005, -73.59299418099994 45.45573051200006, -73.59281847099999 45.45528733500004, -73.59270581999994 45.454987334000066, -73.59258835199995 45.45465100400003, -73.59249588899996 45.45440219900007, -73.59246304099997 45.454313967000076, -73.58931715599994 45.45419441700005))"
"14","24661020","24","2466","2466023","V","2440","462","1","462","24462","B","4620089.00","0089.00","24660211","0.0115149677737","7.0736865452E-06","24661020","24661020","27435","25771","44928","14","POLYGON ((-73.58570851999997 45.45336052400006, -73.58568036199995 45.45371439500008, -73.58565213399999 45.45405145800004, -73.58562382999997 45.454369944000064, -73.58560206699997 45.454708406000066, -73.58537288199994 45.454701785000054, -73.58531968199998 45.45532706000006, -73.58856440399995 45.45545464500003, -73.58859008799999 45.45513118000008, -73.58909729799996 45.45496065400005, -73.58926632999999 45.454855001000055, -73.58929275399998 45.454523506000044, -73.58931715599994 45.45419441700005, -73.58934368099995 45.453856607000034, -73.58937029799995 45.453524653000045, -73.58570851999997 45.45336052400006))"
"15","24661021","24","2466","2466023","V","2440","462","1","462","24462","B","4620086.00","0086.00","24660195","0.00899614520244","4.01811668301E-06","24661021","24661021","28032","25696","43136","15","POLYGON ((-73.58531968199998 45.45532706000006, -73.58526993199996 45.455934650000074, -73.58520506799994 45.45655589100005, -73.58849091499997 45.45667501300005, -73.58851721699995 45.45637116100005, -73.58852991599997 45.45608362200005, -73.58858483899996 45.45555643200004, -73.58856440399995 45.45545464500003, -73.58531968199998 45.45532706000006))"
"16","24661022","24","2466","2466023","V","2440","462","1","462","24462","B","4620086.00","0086.00","24660195","0.0119062978256","8.70764185062E-06","24661022","24661022","30912","28160","52032","16","POLYGON ((-73.58520506799994 45.45655589100005, -73.58514798799996 45.45715868600007, -73.58509529399998 45.45780168500005, -73.58503317699996 45.45848703400003, -73.58496568799995 45.459186687000056, -73.58550436399997 45.45920849500004, -73.58625591299995 45.45924302700007, -73.58803192299996 45.45931853500008, -73.58825085899997 45.459349787000065, -73.58830601599993 45.458752454000035, -73.58830583599996 45.45864371000005, -73.58835444899995 45.45812940600007, -73.58837882599994 45.457946821000064, -73.58843424199995 45.45731714900006, -73.58844297899998 45.45713580100005, -73.58849091499997 45.45667501300005, -73.58520506799994 45.45655589100005))"
"17","24661023","24","2466","2466023","V","2440","462","1","462","24462","B","4620086.00","0086.00","24660195","0.0127315185132","8.87670958383E-06","24661023","24661023","32160","28640","49024","17","POLYGON ((-73.58218663499997 45.457681009000055, -73.58265710799998 45.457700713000065, -73.58455806399996 45.45778210000003, -73.58509529399998 45.45780168500005, -73.58514798799996 45.45715868600007, -73.58520506799994 45.45655589100005, -73.58526993199996 45.455934650000074, -73.58531968199998 45.45532706000006, -73.58210726299995 45.455201903000045, -73.58197020999995 45.45514885500006, -73.58139928699995 45.456100451000054, -73.58099450299994 45.45701670500006, -73.58117194599998 45.45701845700006, -73.58223355299998 45.45706043300004, -73.58218663499997 45.457681009000055))"
"18","24661024","24","2466","2466023","V","2440","462","1","462","24462","B","4620086.00","0086.00","24660195","0.0174652095548","1.04273569754E-05","24661024","24661024","27712","24864","40064","18","POLYGON ((-73.58074459299996 45.45788016600005, -73.58059884799997 45.45871260200005, -73.58051177699997 45.459585505000064, -73.58052249699995 45.459811468000055, -73.58055122499997 45.46041698100004, -73.58074738999994 45.46163332000003, -73.58089685099998 45.461624018000066, -73.58139163599998 45.461643208000055, -73.58184478399994 45.46166611700005, -73.58187713699994 45.46122025900007, -73.58192796099996 45.46076794700008, -73.58199641799996 45.45987105000006, -73.58206394599995 45.45906352900005, -73.58253440199996 45.45908072000003, -73.58261635499997 45.459085704000074, -73.58442954899994 45.45916482300004, -73.58496568799995 45.459186687000056, -73.58503317699996 45.45848703400003, -73.58509529399998 45.45780168500005, -73.58455806399996 45.45778210000003, -73.58265710799998 45.457700713000065, -73.58218663499997 45.457681009000055, -73.58223355299998 45.45706043300004, -73.58117194599998 45.45701845700006, -73.58099450299994 45.45701670500006, -73.58074459299996 45.45788016600005))"
"19","24661025","24","2466","2466023","V","2440","462","1","462","24462","B","4620086.00","0086.00","24660195","0.0126506831513","8.29237066971E-06","24661025","24661025","32096","29248","50304","19","POLYGON ((-73.58192796099996 45.46076794700008, -73.58187713699994 45.46122025900007, -73.58184478399994 45.46166611700005, -73.58354129699995 45.46173376300004, -73.58400907399994 45.461751228000026, -73.58426353699997 45.46176439800007, -73.58478040299997 45.46178871700005, -73.58530169399995 45.46180991300008, -73.58555146099997 45.46181595000007, -73.58563019599995 45.46092486900005, -73.58533630099998 45.460911526000075, -73.58481837599999 45.460897973000044, -73.58490118699996 45.46000079700008, -73.58496568799995 45.459186687000056, -73.58442954899994 45.45916482300004, -73.58261635499997 45.459085704000074, -73.58253440199996 45.45908072000003, -73.58206394599995 45.45906352900005, -73.58199641799996 45.45987105000006, -73.58192796099996 45.46076794700008))"
"20","24661026","24","2466","2466023","V","2440","462","1","462","24462","B","4620086.00","0086.00","24660195","0.0117915803405","7.84167898045E-06","24661026","24661026","34944","30528","56448","20","POLYGON ((-73.58555146099997 45.46181595000007, -73.58602643899997 45.46184163500004, -73.58748005299998 45.46191230900007, -73.58757297099999 45.461916478000035, -73.58802017599999 45.461944139000025, -73.58808866499999 45.461239041000056, -73.58810223399996 45.461037702000056, -73.58813783899996 45.46061307600007, -73.58817152499995 45.46014593600006, -73.58818701899997 45.45999379500006, -73.58825085899997 45.459349787000065, -73.58803192299996 45.45931853500008, -73.58625591299995 45.45924302700007, -73.58550436399997 45.45920849500004, -73.58496568799995 45.459186687000056, -73.58490118699996 45.46000079700008, -73.58481837599999 45.460897973000044, -73.58533630099998 45.460911526000075, -73.58563019599995 45.46092486900005, -73.58555146099997 45.46181595000007))"
"21","24661027","24","2466","2466023","V","2440","462","1","462","24462","B","4620086.00","0086.00","24660195","0.0100242083074","5.74401735101E-06","24661027","24661027","18816","18816","26144","21","POLYGON ((-73.58757297099999 45.461916478000035, -73.58748005299998 45.46191230900007, -73.58602643899997 45.46184163500004, -73.58555146099997 45.46181595000007, -73.58530169399995 45.46180991300008, -73.58478040299997 45.46178871700005, -73.58470546099994 45.46268698400007, -73.58462499099994 45.46355579800007, -73.58705750599995 45.46366313000004, -73.58728721499995 45.46367325300008, -73.58786832299995 45.46369778800005, -73.58794264499994 45.46282746700007, -73.58802017599999 45.461944139000025, -73.58757297099999 45.461916478000035))"
"22","24661028","24","2466","2466023","V","2440","462","1","462","24462","B","4620087.00","0087.00","24660198","0.00868023419903","4.69240543244E-06","24661028","24661028","32448","28544","55168","22","POLYGON ((-73.58980467099997 45.46069500700003, -73.58857925099994 45.46063823800006, -73.58813783899996 45.46061307600007, -73.58810223399996 45.461037702000056, -73.58808866499999 45.461239041000056, -73.58802017599999 45.461944139000025, -73.58794264499994 45.46282746700007, -73.58839121999995 45.462846167000066, -73.58960926699996 45.46289526800007, -73.59005056699993 45.462916275000055, -73.59014155499995 45.46201233200003, -73.59021181199995 45.46132706600008, -73.59026725999996 45.46071128300008, -73.58980467099997 45.46069500700003))"
"23","24661029","24","2466","2466023","V","2440","462","1","462","24462","B","4620087.00","0087.00","24660198","0.0106856658615","3.91124845355E-06","24661029","24661029","27776","25856","52864","23","POLYGON ((-73.59194461699997 45.46299467700004, -73.59158637999997 45.46297772200006, -73.59051177799995 45.46293463500007, -73.59005056699993 45.462916275000055, -73.58960926699996 45.46289526800007, -73.58839121999995 45.462846167000066, -73.58794264499994 45.46282746700007, -73.58786832299995 45.46369778800005, -73.58803381899997 45.46370614600005, -73.58995809999993 45.463786302000074, -73.59233806599997 45.463888316000066, -73.59237794599994 45.46336458500008, -73.59240174199994 45.46301534500003, -73.59194461699997 45.46299467700004))"
"24","24661030","24","2466","2466023","V","2440","462","1","462","24462","B","4620087.00","0087.00","24660198","0.00907748329859","5.125922076E-06","24661030","24661030","20736","20064","37888","24","POLYGON ((-73.59213117899998 45.46079750600006, -73.59070618699997 45.46073190300007, -73.59026725999996 45.46071128300008, -73.59021181199995 45.46132706600008, -73.59014155499995 45.46201233200003, -73.59005056699993 45.462916275000055, -73.59051177799995 45.46293463500007, -73.59158637999997 45.46297772200006, -73.59194461699997 45.46299467700004, -73.59240174199994 45.46301534500003, -73.59242965199996 45.46271198100004, -73.59246927499998 45.46208797000003, -73.59251142399995 45.46143998300005, -73.59257074599998 45.46081954500005, -73.59213117899998 45.46079750600006))"
"25","24661031","24","2466","2466023","V","2440","462","1","462","24462","B","4620087.00","0087.00","24660198","0.00950009049123","2.55041260706E-06","24661031","24661031","26496","23648","50368","25","POLYGON ((-73.59670800199996 45.46221599100005, -73.59660159099997 45.46193685700007, -73.59646767699996 45.461612056000035, -73.59297881399993 45.461457163000034, -73.59251142399995 45.46143998300005, -73.59246927499998 45.46208797000003, -73.59291212999995 45.46209782900007, -73.59296074799994 45.462099462000026, -73.59670800199996 45.46221599100005))"
